sec,branch
0,284
5,447
10,450
15,451
20,452
25,461
30,463
35,469
40,469
45,469
50,469
55,469
60,469
65,487
70,487
75,487
80,491
85,491
90,491
95,491
100,491
105,491
110,491
115,491
120,491
125,491
130,491
135,491
140,491
145,491
150,491
155,491
160,491
165,491
170,491
175,491
180,491
185,491
190,491
195,491
200,491
205,491
210,491
215,491
220,491
225,505
230,505
235,505
240,505
245,505
250,505
255,505
260,505
265,505
270,505
275,505
280,505
285,513
290,515
295,515
300,515
305,515
310,515
315,515
320,515
325,515
330,515
335,515
340,515
345,520
350,520
355,520
360,520
365,520
370,522
375,522
380,525
385,525
390,525
395,525
400,525
405,525
410,525
415,525
420,525
425,525
430,525
435,525
440,525
445,525
450,525
455,525
460,525
465,525
470,525
475,525
480,525
485,525
490,525
495,525
500,525
505,525
510,525
515,525
520,525
525,525
530,525
535,525
540,525
545,525
550,525
555,525
560,525
565,525
570,525
575,525
580,525
585,525
590,525
595,525
600,525
605,525
610,525
615,525
620,525
625,525
630,525
635,525
640,525
645,525
650,525
655,525
660,525
665,525
670,525
675,525
680,525
685,525
690,525
695,525
700,525
705,525
710,525
715,525
720,525
725,525
730,525
735,525
740,525
745,525
750,525
755,525
760,525
765,525
770,525
775,525
780,525
785,525
790,525
795,525
800,525
805,525
810,525
815,525
820,525
825,525
830,525
835,525
840,525
845,525
850,525
855,525
860,525
865,525
870,525
875,525
880,525
885,525
890,525
895,525
900,525
905,525
910,525
915,525
920,525
925,525
930,525
935,525
940,525
945,525
950,525
955,525
960,525
965,525
970,525
975,525
980,525
985,525
990,525
995,525
1000,525
1005,525
1010,525
1015,525
1020,525
1025,525
1030,525
1035,525
1040,525
1045,525
1050,525
1055,525
1060,525
1065,525
1070,525
1075,525
1080,525
1085,525
1090,525
1095,525
1100,525
1105,525
1110,525
1115,525
1120,525
1125,525
1130,525
1135,525
1140,569
1145,573
1150,573
1155,573
1160,573
1165,573
1170,573
1175,573
1180,573
1185,574
1190,574
1195,574
1200,574
1205,574
1210,574
1215,574
1220,574
1225,574
1230,574
1235,574
1240,574
1245,574
1250,574
1255,574
1260,574
1265,574
1270,574
1275,574
1280,574
1285,574
1290,574
1295,574
1300,574
1305,574
1310,574
1315,574
1320,574
1325,574
1330,574
1335,574
1340,574
1345,574
1350,574
1355,574
1360,574
1365,574
1370,574
1375,574
1380,574
1385,574
1390,574
1395,574
1400,574
1405,574
1410,574
1415,574
1420,574
1425,574
1430,574
1435,574
1440,574
1445,574
1450,574
1455,574
1460,574
1465,574
1470,574
1475,574
1480,574
1485,574
1490,574
1495,574
1500,574
1505,574
1510,574
1515,574
1520,574
1525,574
1530,574
1535,574
1540,574
1545,574
1550,574
1555,574
1560,574
1565,574
1570,574
1575,574
1580,574
1585,574
1590,574
1595,574
1600,574
1605,574
1610,574
1615,576
1620,576
1625,576
1630,576
1635,576
1640,576
1645,576
1650,576
1656,576
1661,576
1666,576
1671,576
1676,576
1681,576
1686,576
1691,576
1696,576
1701,576
1706,576
1711,576
1716,576
1721,576
1726,576
1731,576
1736,576
1741,576
1746,576
1751,576
1756,576
1761,576
1766,576
1771,576
1776,576
1781,576
1786,576
1791,576
1796,576
1801,576
1806,576
1811,576
1816,576
1821,576
1826,576
1831,576
1836,576
1841,576
1846,580
1851,580
1856,580
1861,580
1866,580
1871,580
1876,580
1881,580
1886,580
1891,580
1896,580
1901,580
1906,580
1911,580
1916,580
1921,580
1926,580
1931,580
1936,588
1941,588
1946,588
1951,588
1956,588
1961,595
1966,606
1971,607
1976,607
1981,607
1986,607
1991,607
1996,607
2001,607
2006,607
2011,607
2016,607
2021,607
2026,607
2031,607
2036,607
2041,607
2046,607
2051,607
2056,607
2061,607
2066,607
2071,607
2076,607
2081,607
2086,607
2091,607
2096,623
2101,623
2106,623
2111,623
2116,623
2121,626
2126,626
2131,626
2136,626
2141,626
2146,626
2151,626
2156,626
2161,626
2166,626
2171,626
2176,626
2181,626
2186,626
2191,626
2196,626
2201,626
2206,626
2211,626
2216,626
2221,626
2226,626
2231,626
2236,626
2241,626
2246,626
2251,626
2256,626
2261,626
2266,626
2271,626
2276,626
2281,626
2286,626
2291,626
2296,626
2301,626
2306,626
2311,626
2316,626
2321,626
2326,626
2331,626
2336,626
2341,626
2346,626
2351,626
2356,626
2361,626
2366,626
2371,626
2376,627
2381,627
2386,627
2391,627
2396,627
2401,627
2406,627
2411,627
2416,627
2421,627
2426,627
2431,627
2436,627
2441,627
2446,627
2451,627
2456,627
2461,627
2466,627
2471,627
2476,627
2481,627
2486,627
2491,627
2496,627
2501,627
2506,627
2511,627
2516,627
2521,627
2526,627
2531,627
2536,627
2541,627
2546,627
2551,627
2556,627
2561,627
2566,627
2571,627
2576,627
2581,627
2586,627
2591,627
2596,627
2601,627
2606,627
2611,627
2616,627
2621,627
2626,627
2631,627
2636,627
2641,627
2646,627
2651,627
2656,627
2661,627
2666,627
2671,627
2676,627
2681,627
2686,627
2691,627
2696,627
2701,627
2706,627
2711,627
2716,627
2721,627
2726,627
2731,627
2736,627
2741,627
2746,627
2751,627
2756,627
2761,627
2766,627
2771,627
2776,627
2781,627
2786,627
2791,627
2796,627
2801,627
2806,627
2811,627
2816,627
2821,627
2826,627
2831,627
2836,627
2841,627
2846,627
2851,627
2856,627
2861,627
2866,627
2871,627
2876,627
2881,627
2886,627
2891,627
2896,627
2901,627
2906,627
2911,627
2916,627
2921,627
2926,627
2931,627
2936,627
2941,627
2946,627
2951,627
2956,627
2961,627
2966,627
2971,627
2976,627
2981,627
2986,627
2991,627
2996,627
3001,627
3006,627
3011,627
3016,627
3021,627
3026,627
3031,627
3036,627
3041,627
3046,627
3051,627
3056,627
3061,627
3066,627
3071,627
3076,627
3081,627
3086,627
3091,627
3096,627
3101,627
3106,627
3111,627
3116,627
3121,627
3126,627
3131,627
3136,627
3141,627
3146,627
3151,627
3156,627
3161,627
3167,627
3172,627
3177,627
3182,627
3187,627
3192,627
3197,627
3202,627
3207,627
3212,627
3217,627
3222,627
3227,627
3232,627
3237,627
3242,627
3247,627
3252,627
3257,627
3262,627
3267,627
3272,627
3277,627
3282,627
3287,627
3292,627
3297,627
3302,627
3307,627
3312,627
3317,627
3322,627
3327,627
3332,627
3337,627
3342,627
3347,627
3352,627
3357,627
3362,627
3367,627
3372,627
3377,627
3382,627
3387,627
3392,627
3397,627
3402,627
3407,627
3412,630
3417,630
3422,630
3427,630
3432,630
3437,630
3442,630
3447,630
3452,630
3457,630
3462,630
3467,630
3472,630
3477,630
3482,630
3487,630
3492,630
3497,630
3502,630
3507,630
3512,630
3517,630
3522,630
3527,630
3532,630
3537,630
3542,630
3547,630
3552,630
3557,630
3562,630
3567,630
3572,630
3577,630
3582,630
3587,630
3592,630
3597,630
3602,630
3607,630
3612,630
3617,630
3622,630
3627,630
3632,630
3637,630
3642,630
3647,630
3652,630
3657,630
3662,630
3667,630
3672,630
3677,630
3682,630
3687,630
3692,630
3697,630
3702,630
3707,630
3712,630
3717,630
3722,630
3727,630
3732,630
3737,630
3742,630
3747,630
3752,630
3757,630
3762,630
3767,630
3772,630
3777,630
3782,630
3787,630
3792,630
3797,630
3802,630
3807,630
3812,630
3817,630
3822,630
3827,630
3832,630
3837,630
3842,630
3847,630
3852,630
3857,630
3862,630
3867,630
3872,630
3877,630
3882,630
3887,630
3892,630
3897,630
3902,630
3907,630
3912,630
3917,630
3922,630
3927,630
3932,630
3937,630
3942,630
3947,630
3952,630
3957,630
3962,630
3967,630
3972,630
3977,630
3982,630
3987,630
3992,630
3997,630
4002,630
4007,630
4012,630
4017,630
4022,630
4027,630
4032,630
4037,630
4042,630
4047,630
4052,630
4057,630
4062,630
4067,630
4072,630
4077,630
4082,630
4087,630
4092,630
4097,630
4102,630
4107,630
4112,630
4117,630
4122,630
4127,630
4132,630
4137,630
4142,630
4147,630
4152,630
4157,630
4162,630
4167,630
4172,630
4177,630
4182,630
4187,630
4192,630
4197,630
4202,630
4207,630
4212,630
4217,630
4222,630
4227,630
4232,630
4237,630
4242,630
4247,630
4252,630
4257,630
4262,630
4267,630
4272,630
4277,630
4282,630
4287,630
4292,630
4297,630
4302,630
4307,630
4312,630
4317,630
4322,630
4327,630
4332,630
4337,630
4342,630
4347,630
4352,630
4357,630
4362,630
4367,630
